note_source note,title,identifier_PPNanalog,recordIdentifier,classification,dateIssued,accessCondition_use and reproduction,accessCondition_restriction on access,form_material,form_form,extent,coordinates,identifier_ark,subject,canton,documentType,fileUrl,iiifUrl,roleTerm_code,namePart_family,namePart_given,displayForm_personal,topic,state,geographic
Drei Bergsteiger oder Bergbauern mit einer Kuh vor ein paar Hütten.,Personen vor mehreren Hütten,TF_GP_00084,BibZug_TD_23_00084,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,"8,5x10",,ark:/63274/bz1cj10,Natur,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00084/800/0/TD_23_00084.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00084/files/images/TD_23_00084.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
"Ein paar Bergsteiger vor einem weiten Gletscher mit Bergspitzen im Hintergrund, der genaue Ort ist unbekannt.",Ausblick über einen Gletscher,TF_GP_00085,BibZug_TD_23_00085,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,"8,5x10",,ark:/63274/bz17t8j,private Fotografie,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00085/800/0/TD_23_00085.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00085/files/images/TD_23_00085.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
"Mehrere verschneite Berggipfel, der genaue Ort ist unbekannt.",Verschneiter Berggipfel,TF_GP_00117,BibZug_TD_23_00117,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,"8,5x10",,ark:/63274/bz1cf3p,Bergfotografie,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00117/800/0/TD_23_00117.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00117/files/images/TD_23_00117.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
"Ein einzelner Bergsteiger sitz im Vordergrund, im Hintergrund sieht man eine Bergflanke nach dem eine Lawine abgebrochen ist.",Bergflanke nach einer Lawine,TF_GP_00087,BibZug_TD_23_00087,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,"8,5x10",,ark:/63274/bz10b3r,Bergfotografie,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00087/800/0/TD_23_00087.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00087/files/images/TD_23_00087.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
"Zwei Bergsteiger bei einer Rast auf einem felsigen Gipfel, im Hintergrund sind einige markante Berggipfel zu erkennen.",Zwei Bergsteiger vor einem markanten Berggipfel,TF_GP_00171,BibZug_TD_23_00171,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,"8,5x10",,ark:/63274/bz1nj1r,Personen,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00171/800/0/TD_23_00171.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00171/files/images/TD_23_00171.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
Ein einzelner Bergsteiger im Vordergrund vor einem verschneiten Berghang mit dem Gipfel im Hintergrund.,Ein verschneiter Berghang,TF_GP_00172,BibZug_TD_23_00172,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,"8,5x10",,ark:/63274/bz1ht89,Bergfotografie,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00172/800/0/TD_23_00172.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00172/files/images/TD_23_00172.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
Eine grosse Menschenmenge vor einem Karussell.,Personen vor einem Karussell,TF_GP_00190,BibZug_TD_23_00190,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,"8,5x10",,ark:/63274/bz16b47,Alltag,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00190/800/0/TD_23_00190.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00190/files/images/TD_23_00190.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
Eine grosse Gruppe Bergsteiger oder Wanderer vor einer Hütte mit einer Herde Ziegen im Vordergrun,Eine grosse Gruppe Bergsteiger,TF_GP_00180,BibZug_TD_23_00180,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,"8,5x10",,ark:/63274/bz1gt8z,Personen,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00180/800/0/TD_23_00180.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00180/files/images/TD_23_00180.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
"Eine Gruppe Mädchen in weissen Kleidern, eventuell für den Weissen Sonntag.",Eine Gruppe Mädchen,TF_GP_00181,BibZug_TD_23_00181,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,"8,5x10",,ark:/63274/bz1c46h,Personen,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00181/800/0/TD_23_00181.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00181/files/images/TD_23_00181.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
Portrait von zwei jungen Damen in Trachten.,Zwei junge Damen in Trachten,TF_GP_00182,BibZug_TD_23_00182,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,"8,5x10",,ark:/63274/bz17b2r,Personen,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00182/800/0/TD_23_00182.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00182/files/images/TD_23_00182.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
"Eine Fassade von dem Geschäftshaus ""Zehntner"" mit Zierelementen oberhalb der Fenster. Das Gebäude befindet sich an der Rue de la Samaritaine vor dem Brunnen der Samariterin in Freiburg.",Fassade eines Geschäfts in Fribourg,TF_GP_00017,BibZug_TD_23_00017,Bibliothek Zug#Glasplatten,ca. 1899-1900,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Architektur,6x9,"46.80396199936204, 7.166618477928988",ark:/63274/bz1ct8x,,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00017/800/0/TD_23_00017.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00017/files/images/TD_23_00017.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",Architektur,Freiburg,
,"Bau eines Torbogens, Standort Unbekannt",TF_GP_00013,BibZug_TD_23_00013,Bibliothek Zug#Glasplatten,1896,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Architektur,6x9,,ark:/63274/bz1wt83,Ortsbild,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00013/800/0/TD_23_00013.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00013/files/images/TD_23_00013.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
Ein Mann neben einem Telegrafenmast oder einer elektrischen Leitung,"Fribourg, Place des Ormeaux",TF_GP_00019,BibZug_TD_23_00019,Bibliothek Zug#Glasplatten,ca. 1899 - 1900,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Architektur,6x9,,ark:/63274/bz14b2q,,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00019/800/0/TD_23_00019.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00019/files/images/TD_23_00019.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",Architektur,,
,Vermutlich Postgebäude (Telegrafenturm auf dem Dach) im Winter; Ort unbekannt,TF_GP_00021,BibZug_TD_23_00021,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Architektur,6x9,,ark:/63274/bz10n1b,Ortsbild,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00021/800/0/TD_23_00021.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00021/files/images/TD_23_00021.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
Das Bild zeigt die Aamühle am Aabach ausserhalb von Zug. Die Mühle wurde um 1420 erstmals erwähnt.,Die Aamühle in Zug,TF_GP_00029,BibZug_TD_23_00029,Bibliothek Zug#Glasplatten,1900,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,"8,5x10",,ark:/63274/bz17449,Dokumentation,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00029/800/0/TD_23_00029.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00029/files/images/TD_23_00029.jpg'}],,,,,,,
"Eine grosse Bergseite über einem Gletscher, der genaue Ort ist unbekannt.",Ausblick über einen Gletscher,TF_GP_00086,BibZug_TD_23_00086,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,"8,5x10",,ark:/63274/bz1415j,Bergfotografie,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00086/800/0/TD_23_00086.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00086/files/images/TD_23_00086.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
Ein weites Bergpanorama mit einem Gletscher im Vordergrund.,Ausblick über einen Gletscher,TF_GP_00096,BibZug_TD_23_00096,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,"8,5x10",,ark:/63274/bz1zb3d,Bergfotografie,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00096/800/0/TD_23_00096.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00096/files/images/TD_23_00096.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
"Eingangsbereich eines Hauses, die Fassade hat auffallende Zierelementen.",Geschmücktes Stadthaus,TF_GP_00015,BibZug_TD_23_00015,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,6x9,,ark:/63274/bz14f38,Architektur,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00015/800/0/TD_23_00015.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00015/files/images/TD_23_00015.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
"Das ehemalige Haus Nummer 6 an der Chamerstrasse in Zug beim Areal der Mosterei Weiss. Das Haus der Zuger Kirschwasser-Gesellschaft wurde 1872 errichtet, der Magazinschuppen von dem Architekten Dagober Keiser Senior um 1889.",Chamerstrasse in Zug,TF_GP_00038,BibZug_TD_23_00038,Bibliothek Zug#Glasplatten,1889 - 1899,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Geschichte,"8,5x10","47.171170180282736, 8.512752006991606",ark:/63274/bz12f3k,Architektur,Zug,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00038/800/0/TD_23_00038.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00038/files/images/TD_23_00038.jpg'}],,,,,,,
"Ein Mann vor einem grossen Haus mit einem Telefonmasten in einer Stadt oder Dorf, der Ort ist unbekannt.",Mehrere grosse Häuser,TF_GP_00039,BibZug_TD_23_00039,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,"8,5x10",,ark:/63274/bz1xn07,Ortsbild,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00039/800/0/TD_23_00039.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00039/files/images/TD_23_00039.jpg'}],,,,,,,
Eine Gruppe Schuldmädchen vermutlich vor dem Schulgebäude.,Eine Gruppe Schulmädchen,TF_GP_00055,BibZug_TD_23_00055,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,"8,5x10",,ark:/63274/bz10f2g,Personen,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00055/800/0/TD_23_00055.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00055/files/images/TD_23_00055.jpg'}],,,,,,,
Kirche hinter dem Gasthof Kreuz,Dorfansicht von Unterägeri,TF_GP_00058,BibZug_TD_23_00058,Bibliothek Zug#Glasplatten,1906,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,"8,5x10",,ark:/63274/bz1m747,,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00058/800/0/TD_23_00058.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00058/files/images/TD_23_00058.jpg'}],,,,,Kirche,,
Ein Bergsteiger bei einem felsigen Abhang. im Hintergrund sind einige Berge und eine Wandergruppe zu erkennen.,Bergtour des S.A.C.,TF_GP_00064,BibZug_TD_23_00064,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Natur,"8,5x10",,ark:/63274/bz1zf24,Personen,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00064/800/0/TD_23_00064.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00064/files/images/TD_23_00064.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
Zwei Bergsteiger vor ein paar kleinen Hütten mit Berghängen im Hintergrund.,Bergtour des S.A.C.,TF_GP_00065,BibZug_TD_23_00065,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,"8,5x10",,ark:/63274/bz1tq88,Personen,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00065/800/0/TD_23_00065.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00065/files/images/TD_23_00065.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
Eine Gruppe aus vier Personen posieren auf einem Felsen mit markanten Berghängen im Hintergrund.,Bergtour des S.A.C.,TF_GP_00066,BibZug_TD_23_00066,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,,"8,5x10",,ark:/63274/bz1q16t,Personen,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00066/800/0/TD_23_00066.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00066/files/images/TD_23_00066.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
Mehrere Personen auf einer hölzernen Aussichtsplattform in einem bewaldetem Berghang.,Bergtour des S.A.C.,TF_GP_00067,BibZug_TD_23_00067,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Natur,"8,5x10",,ark:/63274/bz1k74w,Personen,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00067/800/0/TD_23_00067.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00067/files/images/TD_23_00067.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
Eine Gruppe aus fünf Bergsteigern posieren auf einem kleinen Felsen.,Bergtour des S.A.C.,TF_GP_00068,BibZug_TD_23_00068,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Natur,"8,5x10",,ark:/63274/bz1fj1p,Personen,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00068/800/0/TD_23_00068.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00068/files/images/TD_23_00068.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
Eine Gruppe aus sieben Bergsteiger posieren auf einem Vorsprung mit einigen Ziegen.,Bergtour des S.A.C.,TF_GP_00069,BibZug_TD_23_00069,Bibliothek Zug#Glasplatten,Undatiert,CC0 1.0 Universal (CC0 1.0) Public Domain Dedication,OPENACCESS,Glasplatte,Natur,"8,5x10",,ark:/63274/bz19q9h,Portrait,,Photograph,[{'FILE_0001_DEFAULT': 'https://zentralgut.ch/content/BibZug_TD_23_00069/800/0/TD_23_00069.jpg'}],[{'FILE_0001_IIIF': 'https://zentralgut.ch/api/v1/records/BibZug_TD_23_00069/files/images/TD_23_00069.jpg'}],pht,Weber-Strebel,Joseph Maria,"Weber-Strebel, Joseph Maria",,,
